NOMBDEPTO,NOMBLOC,POBLACION,CANT_FARMACIAS
ARTIGAS,TOMAS GOMENSORO,2659.0,2
ARTIGAS,BALTASAR BRUM,2531.0,1
ARTIGAS,PORT. DE HIERRO Y CAMPODONICO,323.0,1
CANELONES,ESTACION ATLANTIDA,2274.0,1
CANELONES,CERRILLOS,2508.0,1
CANELONES,MIGUES,2109.0,2
CANELONES,SAN BAUTISTA,1973.0,1
CANELONES,LA FLORESTA,1595.0,3
CANELONES,SAN ANTONIO,1489.0,1
CANELONES,AEROPUERTO INTERNACIONAL DE CARRASCO,90.0,2
CANELONES,COSTA AZUL,965.0,2
CANELONES,COSTA Y GUILLAMON,550.0,1
CANELONES,CITY GOLF,1104.0,2
CANELONES,BELLO HORIZONTE,416.0,1
CANELONES,BIARRITZ,57.0,1
CANELONES,CUCHILLA ALTA,527.0,1
CANELONES,EL BOSQUE,988.0,3
CANELONES,JAUREGUIBERRY,458.0,1
CANELONES,PIEDRA DEL TORO,332.0,1
CANELONES,EL GALEON,192.0,1
CANELONES,VILLA ARGENTINA,622.0,1
CANELONES,VILLA PORVENIR,507.0,1
CANELONES,LOMAS DE CARRASCO,806.0,1
CANELONES,CARMEL,80.0,1
CANELONES,ALTOS DE LA TAHONA,168.0,1
CERRO LARGO,TUPAMBAE,1122.0,1
CERRO LARGO,ACEGUA,1511.0,1
COLONIA,AGRACIADA,192.0,1
COLONIA,MIGUELETE,999.0,1
COLONIA,LOS PINOS,193.0,1
COLONIA,PLAYA AZUL,25.0,1
COLONIA,PLAYA BRITOPOLIS,107.0,1
COLONIA,PLAYA PARANT,45.0,1
COLONIA,PLAYA FOMENTO,84.0,1
DURAZNO,CENTENARIO,1136.0,1
DURAZNO,CERRO CHATO,1124.0,2
FLORES,ISMAEL CORTINAS,918.0,1
FLORES,RURAL,2068.0,6
FLORIDA,CASUPA,2402.0,1
FLORIDA,CARDAL,1202.0,1
FLORIDA,25 DE MAYO,1852.0,1
FLORIDA,CAPILLA DEL SAUCE,835.0,1
FLORIDA,NICO PEREZ,1030.0,1
FLORIDA,CERRO CHATO,409.0,2
FLORIDA,MENDOZA,730.0,1
LAVALLEJA,JOSE BATLLE Y ORDOÃ‘EZ,2203.0,1
LAVALLEJA,MARISCALA,1626.0,1
LAVALLEJA,SOLIS DE MATAOJO,2825.0,1
MALDONADO,AIGUA,2465.0,1
MALDONADO,SOLIS,288.0,1
MALDONADO,BELLA VISTA,141.0,1
MALDONADO,EL CHORRO,392.0,1
MALDONADO,EL TESORO,1396.0,1
MALDONADO,LA BARRA,339.0,1
MALDONADO,LAS FLORES,241.0,1
MALDONADO,MANANTIALES,149.0,1
MALDONADO,PLAYA VERDE,269.0,1
MALDONADO,PUNTA BALLENA,750.0,2
MALDONADO,RUTA 37 Y 9,62.0,2
MALDONADO,BALNEARIO BUENOS AIRES,1551.0,1
MALDONADO,LA SONRISA,1562.0,2
MALDONADO,LAGUNA BLANCA,4.0,1
PAYSANDU,TERMAS DE GUAVIYU,38.0,1
RIO NEGRO,SAN JAVIER,1781.0,1
RIO NEGRO,BARRIO ANGLO,785.0,2
ROCHA,VELAZQUEZ,1022.0,1
ROCHA,LA PEDRERA,225.0,1
ROCHA,PTA. RUBIA Y STA. ISABEL DE LA PEDRERA,94.0,1
ROCHA,PUNTA DEL DIABLO,823.0,1
SAN JOSE,RODRIGUEZ,2604.0,1
SAN JOSE,SANTA MONICA,1662.0,1
SAN JOSE,RAFAEL PERAZA,1277.0,2
SAN JOSE,ECILDA PAULLIER,2585.0,2
SAN JOSE,KIYU-ORDEIG,423.0,1
SORIANO,JOSE ENRIQUE RODO,2120.0,2
SORIANO,PALMITAS,2123.0,1
SORIANO,AGRACIADA,394.0,1
SORIANO,RISSO,557.0,1
SORIANO,CHACRAS DE DOLORES,1961.0,4
TACUAREMBO,ANSINA,2712.0,1
TACUAREMBO,LAS TOSCAS,1142.0,2
TREINTA Y TRES,SANTA CLARA DE OLIMAR,2341.0,1
TREINTA Y TRES,CERRO CHATO,1694.0,2
